event_id,timestamp,hostname,user,event_type,process_name,file_path,hash,source_ip,destination_ip,action,notes
1,2025-05-22T08:12:10Z,WS-01,jdoe,process_start,powershell.exe,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,ab12f0c9e3d1,192.168.1.10,10.0.0.5,allowed,"Normal PowerShell startup"
2,2025-05-22T08:14:27Z,WS-01,jdoe,file_write,C:\Users\jdoe\Downloads\report.pdf,C:\Users\jdoe\Downloads\report.pdf,c12d9ff113aa,192.168.1.10,10.0.0.5,allowed,"User saved PDF"
3,2025-05-22T08:20:55Z,WS-05,intern,process_start,cmd.exe,C:\Windows\System32\cmd.exe,ffd9a103bb12,192.168.1.22,8.8.8.8,allowed,"User opened command prompt"
4,2025-05-22T08:22:44Z,WS-05,intern,file_delete,C:\Users\intern\AppData\Temp\abc.tmp,C:\Users\intern\AppData\Temp\abc.tmp,45df0011bb39,192.168.1.22,8.8.8.8,allowed,"Temp file cleanup"
5,2025-05-22T09:05:13Z,WS-09,asmith,process_start,powershell.exe,C:\Windows\System32\powershell.exe,11aa00ff99c2,192.168.1.30,185.224.1.10,blocked,"Encoded command detected"
6,2025-05-22T09:05:15Z,WS-09,asmith,alert,suspicious_powershell,C:\Windows\System32\powershell.exe,11aa00ff99c2,192.168.1.30,185.224.1.10,alert,"Possible malicious PowerShell"
7,2025-05-22T09:10:22Z,WS-09,asmith,process_start,malware_dropper.exe,C:\Users\asmith\AppData\Roaming\mal.exe,88ff22aa1123,192.168.1.30,185.224.1.10,blocked,"Known malware hash detected"
8,2025-05-22T09:11:01Z,WS-15,knguyen,process_start,chrome.exe,C:\Program Files\Google\Chrome\Application\chrome.exe,bbd213fa90de,192.168.1.45,172.217.5.14,allowed,"Normal browsing"
9,2025-05-22T09:12:43Z,WS-15,knguyen,file_read,C:\Users\knguyen\Documents\budget.xlsx,C:\Users\knguyen\Documents\budget.xlsx,cc11aa22bb33,192.168.1.45,172.217.5.14,allowed,"Normal file access"
10,2025-05-22T09:25:54Z,WS-22,svc_backup,process_start,backup.exe,C:\Program Files\BackupTool\backup.exe,aa11cc22dd33,10.0.0.10,10.0.0.200,allowed,"Scheduled backup process"
11,2025-05-22T09:40:14Z,WS-22,svc_backup,file_read,C:\Corp\Finance\data.db,C:\Corp\Finance\data.db,badcc33ee551,10.0.0.10,10.0.0.200,allowed,"Backup read operation"
12,2025-05-22T10:00:04Z,WS-11,root,process_start,ssh.exe,C:\Windows\System32\OpenSSH\ssh.exe,8844cc1199aa,10.0.0.12,44.12.50.8,blocked,"Unauthorized ssh.exe from workstation"
